Female,Male,Vine,Observation_no,2020-05-06,2020-05-12,2020-05-17,2020-05-20,2020-05-23,2020-05-27,2020-05-30,2020-06-02,2020-06-06,2020-06-08,2020-06-11,2020-06-14,2020-06-18,2020-06-21,2020-06-25,2020-06-29,2020-07-02,2020-07-05,2020-07-13,2020-07-22,2020-07-27,2020-08-02,2020-08-09,2020-08-13,2020-08-16,2020-08-22,2020-08-26
SKND.009.41,ND.054.27,1.097.001,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.003,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.004,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.005,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.006,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.007,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.008,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.009,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.010,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.011,1,5,5,5,8,8,11,12,NA,13,13,14,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.012,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.013,1,1,5,1,1,1,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.014,1,7,1,NA,1,1,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.015,1,1,3,3,3,7,12,13,NA,14,15,16,17,19,NA,71,NA,16,23,75,81,83,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.016,1,0,5,1,1,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.017,1,0,NA,1,3,3,8,13,NA,13,13,NA,15,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.018,1,5,5,8,12,13,17,17,NA,20,66,69,71,75,75,77,77,77,79,79,79,79,82,85,85,85,85,85
SKND.009.41,ND.054.27,1.097.019,1,5,3,8,12,13,16,16,NA,20,19,69,69,73,75,75,77,79,79,79,79,79,79,79,81,79,83,85
SKND.009.41,ND.054.27,1.097.020,1,3,3,7,11,12,15,16,NA,18,62,20,69,75,75,77,28,77,77,79,79,79,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.021,1,5,5,8,12,13,16,15,NA,65,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.022,1,1,NA,1,3,1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.023,1,5,5,NA,3,1,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.024,1,5,3,1,1,1,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.025,1,3,3,5,8,12,14,15,NA,19,20,19,NA,22,22,25,20,25,25,NA,79,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.026,1,5,5,5,5,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.027,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.028,1,5,3,3,8,1,16,16,NA,20,20,65,71,75,73,75,75,75,79,79,79,79,79,79,79,79,79,79
SKND.009.41,ND.054.27,1.097.029,1,1,1,3,8,12,14,14,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.030,1,1,NA,3,5,7,12,13,NA,16,17,17,64,71,71,73,22,75,75,79,79,79,79,81,81,83,85,85
SKND.009.41,ND.054.27,1.097.031,1,5,3,5,11,13,16,16,NA,20,65,69,71,75,75,75,75,75,75,79,79,79,79,85,85,85,85,85
SKND.009.41,ND.054.27,1.097.032,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.033,1,5,1,7,11,13,15,15,NA,19,66,69,71,75,75,75,77,77,77,79,79,79,79,85,85,85,85,85
SKND.009.41,ND.054.27,1.097.034,1,0,3,3,8,11,14,14,NA,18,19,63,69,73,73,75,75,77,77,79,79,79,83,85,85,85,85,85
SKND.009.41,ND.054.27,1.097.035,1,0,0,7,8,11,14,14,NA,18,18,61,68,75,75,75,77,79,79,79,83,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.036,1,1,1,5,8,12,15,16,NA,19,65,69,71,75,75,75,77,79,79,79,79,79,79,79,79,79,83,85
SKND.009.41,ND.054.27,1.097.037,1,0,0,3,5,8,13,14,NA,17,63,69,71,75,73,75,75,77,77,79,79,81,79,85,85,85,85,79
SKND.009.41,ND.054.27,1.097.038,1,0,0,5,8,12,15,15,NA,20,NA,68,71,75,75,75,77,77,79,79,83,85,85,85,85,85,85,85
SKND.009.41,ND.054.27,1.097.039,1,0,0,1,1,1,5,5,NA,NA,13,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKND.009.41,ND.054.27,1.097.040,1,0,0,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
